TITLE,AUTHOR,HATHI_ID,PUBLISHER,YEAR,GENDER,RACE,NATIONALITY,GENRE,YEAR_CORRECT
Rabbis and wives / | $c: Chaim Grade ; translated from the Yiddish by Harold Rabinowitz and Inna Hecker Grade.,"Grade, Chaim,",uc1.32106006535253,New York|A.A. Knopf|Distributed by Random House|1982.,1982,male,white,american,LIT,1982
Time for Frankie Coolin / | $c: Bill Griffith.,"Griffith, Bill.",uc1.b4437607,New York|Random House|c1982.,1982,male,white,american,DET,1982
The sea beggars / | $c: Cecelia Holland.,"Holland, Cecelia,",mdp.39015050557423,New York|Knopf|Distributed by Random House|1982.,1982,F,white,American,HIST,1982
Mean time / | $c: Christopher T. Leland.,"Leland, Christopher T.",uc1.b4351489,New York|Random House|c1982.,1982,male,white,american,DET,1982
The making of the representative for planet 8 / | $c: Doris Lessing.,"Lessing, Doris May,",mdp.39015005233310,New York|Knopf : distributed by Random House|1982.,1982,female,white,british,LIT,1982
"Satan, his psychotherapy and cure by the unfortunate Dr. Kassler, J.S.P.S. / | $c: Jeremy Leven.","Leven, Jeremy.",mdp.39015002384165,New York|Knopf|Distributed by Random House|c1982.,1982,male,white,american,FAN,1982
A bigamist's daughter : | a novel / | $c: by Alice McDermott.,"McDermott, Alice.",uc1.32106010994165,New York|Random House|c1982.,1982,F,Caucasian,American,ROM,1982
"Levitation, five fictions / | $c: Cynthia Ozick.","Ozick, Cynthia.",mdp.39015005494920,New York|Knopf : distributed by Random House|1982.,1982,female,white,american,DET,1982
Collected stories / | $c: V.S. Pritchett.,"Pritchett, V. S. (Victor Sawdon),",mdp.39015004134816,New York|Random House|c1982.,1982,male,white,british,LIT,1982
Cry to heaven / | $c: by Anne Rice.,"Rice, Anne,",mdp.39015013925097,New York|Knopf|Distributed by Random House|1982.,1982,female,white,american,HIST,1982
The notebooks of Malte Laurids Brigge / | $c: Rainer Maria Rilke ; translated by Stephen Mitchell.,"Rilke, Rainer Maria,",uc1.32106009696219,New York|Random House|c1982.,1982,male,white,austrian,LIT,1982
Last resort : | a novel / | $c: Scott Sommer.,"Sommer, Scott.",uc1.b4365455,New York|Random House|c1982.,1982,male,white,american,ROM,1982
Summer crossing : | a novel / | $c: by Steve Tesich.,"Tesich, Steve.",uc1.b3461901,New York|Random House|c1982.,1982,male,white,serbian/american,YA,1982
Dinner at the Homesick Restaurant / | $c: Anne Tyler.,"Tyler, Anne.",mdp.39015035342784,New York|Knopf|Distributed by Random House|1982.,1982,female,white,american,LIT,1982
Stalking horse / | $c: Collin Wilcox.,"Wilcox, Collin.",uc1.b4951599,New York|Random House|c1982.,1982,male,white,american,DET,1982
Taking care : | short stories / | $c: by Joy Williams.,"Williams, Joy.",mdp.39015004319938,New York|Random House|c1982.,1982,M,Caucasian,American,ROM,1982
Sleepwalking / | $c: Meg Wolitzer.,"Wolitzer, Meg.",mdp.39015005117794,New York|Random House|c1982.,1982,female,white,american,ROM,1982
Leftover Dreams,"Allen, Charlotte Vale",,Random House,1983,F,white,American,YA,1992
La Tregua,"Benedetti, Mario",,Random House,1983,M,Caucasian,Uruguayian,ROM,"1994, 1960"
King Of The Sea,"Bickerton, Derek",,Random House,1983,M,Caucasian,British,SCI,1979
Krekshuns,"Bolen, Dennis E",,Random House,1983,M,Caucasian,Canadian,DET,1997
Know Fear,"Ciencin, Scott",,Random House,1983,M,Caucasian,American,SCI,1996
La Casa En Mango Street,"Cisneros, Sandra",,Random House,1983,F,Latino/a,American,YA,1994
Latitudes Of Melt,"Clark, Joan",,Random House,1983,F,Caucasian,Canadian,FAN,2000
Kiss And Make-Up,"Clark, M D",,Random House,1983,F,Caucasian,Nationality,YA,1999
King Kong,"Conaway, Judith",,Random House,1983,F,,,SCI,1983
Last Precinct,"Cornwell, Patricia",,Random House,1983,F,Caucasian,American,DET,2000
Lambert The Sheepish Lion,"Disney, Walt",,Random House,1983,M,Caucasian,American,YA,1977
King Hereafter,"Dunnett, Dorothy",,Random House,1983,F,Caucasian,Scottish,HIST,1982
Leonardo'S Swans,"Essex, Karen",,Random House,1983,F,Caucasian,American,HIST,1984
Knight Of Florence,"Evernden, Margery",,Random House,1983,,,,HIST,1950
King Arthur And The Knights Of The Round Table,"Fraser, Antonia",,Random House,1983,F,Caucasian,British,FAN,1970
L Is For Lawless,"Grafton, Sue",,Random House,1983,F,Caucasian,American,DET,1995
King Of The Two Lands,"Hawkes, Jacquetta",,Random House,1983,F,Caucasian,British,HIST,1966
Lengthy,"Hoff, Syd",,Random House,1983,M,Caucasian,American,YA,"1980, 1964"
Killer Dreams,"Johansen, Iris",,Random House,1983,F,Caucasian,American,SCI,1984
King Solomon'S Mines,"Jones, Betty Millsaps",,Random House,1983,F,Caucasian?,American,DET,1982
Lando,"L'Amour, Louis",,Random House,1983,M,Caucasian,American,LIT,1962
Last Chance In France,"Lowery, Linda",,Random House,1983,F,Caucasian,American,YA,2000
Kidnapped In The Catacombs,"Mantell, Paul",,Random House,1983,M,Caucasian,American,YA,1995
King'S Guest,"Mcgowen, Tom",,Random House,1983,M,,American,YA,1984
Legacy,"Michener, James A",,Random House,1983,M,Caucasian,American,DET,1987
La Hora De Los Juegos Olimpicos,"Osborne, Mary Pope",,Random House,1983,F,Caucasian,American,FAN,1998
King Arthur And His Knights,"Robinson, Mabel Louise",,Random House,1983,F,Caucasian,American,HIST,1953
Kidnapped At Birth?,"Sachar, Louis",,Random House,1983,M,Caucasian,American,YA,1992
Larry'S Party,"Shields, Carol",,Random House,1983,F,Caucasian,American,LIT,1997
Kidnapped,"Stevenson, Robert Louis",,Random House,1983,M,Caucasian,Scottish,YA,1994
Pitch dark / | $c: Renata Adler.,"Adler, Renata.",mdp.39015005478964,New York|Knopf|Distributed by Random House|1983.,1983,female,white,american,LIT,1983
Something wicked this way comes / | $c: Ray Bradbury.,"Bradbury, Ray,",mdp.39015057936240,"New York|Knopf|Distributed by Random House|1983, c1962.",1983,M,Caucasian,American,FAN,1983
One Christmas / | $c: Truman Capote.,"Capote, Truman,",mdp.39015009358659,New York|Random House|c1983.,1983,M,Caucasian,American,LIT,1983
Cathedral : | stories / | $c: Raymond Carver.,"Carver, Raymond,",uc1.32106011264659,New York|Knopf|Distributed by Random House|1983.,1983,M,Caucasian,American,LIT,1983
"We love Glenda so much, and other tales / | $c: by Julio Cort_í_Œ‚í_Œé____í_Œ‚í_Œé__zar ; translated from the Spanish by Gregory Rabassa.","Cort_í_Œ‚í_Œé____í_Œ‚í_Œé__zar, Julio.",mdp.39015042558133,New York|Knopf|Distributed by Random House|1983.,1983,male,latinx,Argentinian,,1983
Dancing bear / | $c: James Crumley.,"Crumley, James,",uc1.32106016501956,New York|Random House|c1983.,1983,M,Caucasian,American,DET,1983
God's pocket / | $c: Pete Dexter.,"Dexter, Pete,",uc1.32106006775255,New York|Random House|c1983.,1983,male,white,american,LIT,1983
Father Abraham / | $c: by William Faulkner ; edited by James B. Meriwether ; with wood engravings by John DePol.,"Faulkner, William,",mdp.39015008833603,New York|Random House|c1983.,1983,male,white,american,LIT,1983
Missed connections / | $c: Elaine Ford.,"Ford, Elaine.",uc1.b4450899,New York|Random House|c1983.,1983,female,white,american,ROM,1983
Two wings to veil my face / | $c: Leon Forrest.,"Forrest, Leon.",mdp.39015017663934,New York|Random House|c1983.,1983,male,afam,american,LIT,1983
The mind-body problem : | a novel / | $c: Rebecca Goldstein.,"Goldstein, Rebecca,",uc1.32106018320942,New York|Random House|c1983.,1983,F,Caucasian,American,ROM,1983
"The assassination of Jesse James by the coward, Robert Ford / | $c: Ron Hansen.","Hansen, Ron,",uc1.32106009047520,New York|Knopf|Distributed by Random House|1983.,1983,M,Caucasian,American,WEST,1983
Dancing in the dark / | $c: Janet Hobhouse.,"Hobhouse, Janet,",uc1.32106006588500,New York|Random House|c1983.,1983,female,white,american,ROM,1983
Things to come and go : | three stories / | $c: Bette Howland.,"Howland, Bette.",uc1.b4446924,"New York, N.Y.|Knopf|Distributed by Random House|1983.",1983,female,white,american,ROM,1983
Places in the world a woman could walk : | stories / | $c: by Janet Kauffman.,"Kauffman, Janet.",mdp.49015000705542,New York|Knopf|Distributed by Random House|1983.,1983,female,white,american,fiction,1983
The flower of the republic / | $c: Raymond Kennedy.,"Kennedy, Raymond,",uc1.b4462506,New York|Knopf|Distributed by Random House|1983.,1983,male,white,american,FAN,1983
False premises / | $c: Winthrop Knowlton.,"Knowlton, Winthrop.",uc1.b4463160,New York|Random House|c1983.,1983,male,white,american,LIT,1983
The coffin tree : | a novel / | $c: by Wendy Law-Yone.,"Law-Yone, Wendy.",uc1.32106006661141,New York|Knopf|Distributed by Random House|1983.,1983,female,asian,american,LIT,1983
Documents relating to the sentimental agents in the Volyen Empire / | $c: Doris Lessing.,"Lessing, Doris May,",mdp.39015012429828,New York|Knopf|Distributed by Random House|1983.,1983,female,white,british,SCI,1983
"It's me, Eddie : | a fictional memoir / | $c: Edward Limonov ; translated from the Russian by S.L. Campbell.","Limonov, E__í_Œ‚í_Œé___í_Œ‚í_Œé__duard.",uc1.32106006691270,New York|Random House|c1983.,1983,male,white,russian,fiction,1983
The moons of Jupiter : | stories / | $c: by Alice Munro.,"Munro, Alice.",mdp.39015005124907,"New York|Knopf|Distributed by Random House|1983, c1982.",1983,F,Caucasian,Canadian,LIT,1983
Escape the night / | $c: Richard North Patterson.,"Patterson, Richard North.",uc1.32106006661281,New York|Random House|c1983.,1983,male,white,american,DET,1983
Tikal : | a novel about the Maya / | $c: Daniel Peters.,"Peters, Daniel.",uc1.32106006740929,New York|Random House|c1983.,1983,male,white,american,DET,1983
My search for Warren Harding / | $c: by Robert Plunket.,"Plunket, Robert.",uc1.32106006661034,New York|Knopf|Distributed by Random House|1983.,1983,male,white,american,LIT,1983
An amateur's guide to the night : | stories / | $c: by Mary Robison.,"Robison, Mary.",mdp.39015008620349,New York|Knopf|Distributed by Random House|c1983.,1983,F,Caucasian,American,LIT,1983
Shakespeare's dog : | a novel / | $c: by Leon Rooke.,"Rooke, Leon.",mdp.39015005881357,New York|Knopf|Distributed by Random House|1983.,1983,male,white,canadian,HIST,1983
Alice in bed : | a novel / | $c: by Cathleen Schine.,"Schine, Cathleen.",uc1.b3462870,New York|Knopf|Distributed by Random House|1983.,1983,F,Caucasian,American,ROM,1983
Flights / | $c: Jim Shepard.,"Shepard, Jim.",uc1.b4361998,New York|Knopf|Distributed by Random House|1983.,1983,male,white,american,YA,1983
Here to get my baby out of jail / | $c: Louise Shivers.,"Shivers, Louise.",mdp.39015014164118,New York|Random House|c1983.,1983,female,white,american,LIT,1983
In constant flight : | stories / | $c: by Elizabeth Tallent.,"Tallent, Elizabeth,",mdp.39015005889988,New York|Knopf|Distributed by Random House|1983.,1983,F,Caucasian,American,LIT,1983
The Queen's gambit / | $c: Walter Tevis.,"Tevis, Walter S.",uc1.b4368834,New York|Random House|c1983.,1983,male,white,american,LIT,1983
The island of Crimea : | a novel / | $c: by Vassily Aksyonov ; translated from the Russian by Michael W. Heim.,,uc1.b4930145,New York|Random House|1983.,1983,na,na,na,SCI,1983
Lily And Me,"Aaron, Moses",,Random House,1984,M,Asian,Indian,DET,1996
"Little Women Or, Meg, Jo, Beth And Amy","Alcott, Louisa May",,Random House,1984,F,Caucasian,American,ROM,1994
London Fields,"Amis, Martin",,Random House,1984,M,Caucasian,British,DET,"1991, 1989"
Light In The Mountain,"Anderson, Margaret J",,Random House,1984,F,Caucasian,American,FAN,1982
"Love, Etc","Barnes, Julian",,Random House,1984,M,Caucasian,British,LIT,2000
Life In The Fat Lane,"Bennett, Cherie",,Random House,1984,F,Caucasian,American,YA,1998
Long Time Coming,"Brown, Sandra",,Random House,1984,F,Caucasian,American,ROM,"1988, 1989"
Little Green Men,"Buckley, Christopher",,Random House,1984,M,Caucasian,American,LIT,1999
Look At It This Way,"Cartwright, Justin",,Random House,1984,M,Caucasian,British,LIT,"1992, 1990"
Lost City,"Ciencin, Scott",,Random House,1984,M,Caucasian,American,YA,1996
Love And Money,"Clad, Noel",,Random House,1984,,,,LIT,1959
Lord Jim,"Conrad, Joseph",,Random House,1984,M,Caucasian,British,HIST,1992
Lord Jim & Nostromo,"Conrad, Joseph",,Random House,1984,M,Caucasian,British,LIT,2000
London Match,"Deighton, Len",,Random House,1984,M,Caucasian,British,DET,1985
Little Red Riding Hood,"Eisen, Armand",,Random House,1984,,,,YA,1988
Less Than Zero,"Ellis, Bret Easton",,Random House,1984,M,Caucasian,American,LIT,"1998, 1985"
Little Black,"Farley, Walter",,Random House,1984,M,white,American,YA,1961
Little Black Goes To The Circus,"Farley, Walter",,Random House,1984,M,white,American,YA,1963
"Little Black, A Pony","Farley, Walter",,Random House,1984,M,white,American,YA,"1989, 1961"
Life Penalty,"Fielding, Joy",,Random House,1984,M,Caucasian,Canadian,DET,1984
Madame Bovary,"Flaubert, Gustave",,Random House,1984,M,Caucasian,French,LIT,1957
Love & Money,"Harris, Ruth",,Random House,1984,F,Caucasian,American,ROM,1988
Little Witch Goes To School,"Hautzig, Deborah",,Random House,1984,F,Caucasian,American,YA,1998
Lucky You,"Hiaasen, Carl",,Random House,1984,M,Caucasian,American,DET,1997
Lord Richard'S Passion,"Jones, Mervyn",,Random House,1984,M,Caucasian,British,ROM,1974
Lucky Thirteen,"Kaye, Marilyn",,Random House,1984,F,Caucasian,American,YA,2000
Life Expectancy,"Koontz, Dean",,Random House,1984,M,Caucasian,American,FAN,1984
Lovers,"Krantz, Judith",,Random House,1984,F,Caucasian,American,ROM,1994
Life Is Elsewhere,"Kundera, Milan",,Random House,1984,M,Caucasian,Czech,LIT,1974
Little Chicks Story,"Kwitz, Mary Deball",,Random House,1984,F,Caucasian?,,YA,1978
Little Boy Blue,"Linder, Mark",,Random House,1984,,,,DET,1992
Light Action In The Caribbean,"Lopez, Barry Holstun",,Random House,1984,M,Caucasian,American,LIT,2000
Liza Lou And The Yeller Belly Swamp,"Mayer, Mercer",,Random House,1984,M,Caucasian,American,YA,1976
Lucky Star,"Mcdonald, Megan",,Random House,1984,F,Caucasian,American,YA,2000
Little Nina And The Radio,Nadja,,Random House,1984,F,Caucasian,American,YA,1992
Lions At Lunchtime,"Osborne, Mary Pope",,Random House,1984,F,Caucasian,American,YA,1998
Lions At Lunchtime #11,"Osborne, Mary Pope",,Random House,1984,F,Caucasian,American,YA,1998
Magic Tree House,"Osborne, Mary Pope",,Random House,1984,F,Caucasian,American,YA,1999
Magic Tree House # 14 Day Of The Dragon King,"Osborne, Mary Pope",,Random House,1984,F,Caucasian,American,YA,1998
Magic Tree House # 16 Hour Of The Olympics,"Osborne, Mary Pope",,Random House,1984,F,Caucasian,American,YA,1998
Magic Tree House #1 Dinosaurs Before Dark,"Osborne, Mary Pope",,Random House,1984,F,Caucasian,American,YA,1992
Magic Tree House #13 Vacation Under The Volcano,"Osborne, Mary Pope",,Random House,1984,F,Caucasian,American,YA,1998
Magic Tree House #15 Viking Ships At Sunrise,"Osborne, Mary Pope",,Random House,1984,F,Caucasian,American,YA,1998
Magic Tree House #20 Dingoes At Dinnertime,"Osborne, Mary Pope",,Random House,1984,F,Caucasian,American,YA,2000
Magic Tree House #3 Mummies In The Morning,"Osborne, Mary Pope",,Random House,1984,F,Caucasian,American,YA,1993
Magic Tree House #4 Pirates Past Noon,"Osborne, Mary Pope",,Random House,1984,F,Caucasian,American,YA,1994
Low Fat,"Pausacker, Jenny",,Random House,1984,F,Caucasian,Australian,YA,1998
Lioness Rampant,"Pierce, Tamora",,Random House,1984,F,Caucasian,American,FAN,1988
Light Years,"Salter, James",,Random House,1984,M,Caucasian,American,LIT,1975
Lovesounds,"Sheehy, Gail",,Random House,1984,F,Caucasian,American,ROM,1970
Loveletters,"Shreve, Susan",,Random House,1984,M,Caucasian,American,ROM,1978
Long Shot,"Stine, Megan",,Random House,1984,F,Caucasian?,American,YA,1990
Lie Down In Darkness,"Styron, William",,Random House,1984,M,Caucasian,American,HIST,"1992, 1951"
Lupe,"Thompson, Gene",,Random House,1984,M,Caucasian,American,FAN,1977
Love'S Mansion,"West, Paul",,Random House,1984,M,Caucasian,American,HIST,1992
Lona,"Wright, Dare",,Random House,1984,F,Caucasian,American,YA,1963
Lives of the poets : | six stories and a novella / | $c: by E.L. Doctorow.,"Doctorow, E. L.,",mdp.39015008731187,New York|Random House|c1984.,1984,male,white,american,LIT,1984
A house in the country : | a novel / | $c: by Jos__í_Œ‚í_Œé___í_Œ‚í_Œé__ Donoso ; translated by David Pritchard with Suzanne Jill Levine.,"Donoso, Jos__í_Œ‚í_Œé___í_Œ‚í_Œé__,",uc1.b4278922,"New York, NY|Knopf|Distributed by Random House|1984.",1984,male,latinx,chilean,,1984
Sins of omission / | $c: by Candace Flynt.,"Flynt, Candace,",uc1.b4450894,New York|Random House|c1984.,1984,female,white,american,LIT,1984
Elbowing the seducer : | a novel / | $c: T. Gertler.,"Gertler, T.",uc1.b4439412,New York|Random House|c1984.,1984,female,white,american,LIT,1984
God knows / | $c: Joseph Heller.,"Heller, Joseph.",uc1.32106007117622,New York|Knopf|Distributed by Random House|1984.,1984,M,Caucasian,American,LIT,1984
The cheat / | $c: by Pat Jordan.,"Jordan, Pat.",uc1.32106007116590,New York|Villard Books|Distributed by Random House|1984.,1984,male,white,american,ROM,1984
"The talisman : | a novel / | $c: Stephen King, Peter Straub.","King, Stephen,",pst.000058490631,New York|Random House|c1984.,1984,male,white,american,LIT,1984
Family dancing : | stories / | $c: by David Leavitt.,"Leavitt, David,",mdp.39015007049425,New York|Knopf|Distributed by Random House|1984.,1984,M,white,American,LIT,1984
Sarah Phillips / | $c: Andrea Lee.,"Lee, Andrea,",mdp.39015034298623,New York|Random House|c1984.,1984,female,na,american,LIT,1984
If the old could-- / | $c: Jane Somers.,"Lessing, Doris May,",uc1.b4949037,New York|Knopf|Distributed by Random House|1984.,1984,female,white,british,LIT,1984
Foreign affairs / | $c: Alison Lurie.,"Lurie, Alison.",mdp.39015008390018,New York|Random House|c1984.,1984,female,white,american,LIT,1984
The hungry tigress and other traditional Asian tales / | $c: told by Rafe Martin ; illustrated by Richard Wehrman.,"Martin, Rafe,",mdp.39015013099026,"Boulder, Colo.|Shambhala|New York|Distributed in the U.S. by Random House|1984.",1984,male,white,american,FAN,1984
"Kaye Wayfaring in ""Avenged"" : | four stories / | $c: by James McCourt","McCourt, James,",uc1.b4355081,New York|Knopf|Distributed by Random House|1984,1984,M,Caucasian,American,ROM,1984
Something to be desired / | $c: Thomas McGuane.,"McGuane, Thomas.",mdp.39015008536743,New York|Random House|1984.,1984,male,white,american,LIT,1984
The laughter of Carthage / | $c: Michael Moorcock.,"Moorcock, Michael,",mdp.39015011546390,New York|Random House|c1984.,1984,male,white,british,LIT,1984
Aracoeli : | a novel / | $c: Elsa Morante ; translated from the Italian by William Weaver.,"Morante, Elsa,",mdp.39015010449836,New York|Random House|c1984.,1984,female,white,italian,LIT,1984
Collected stories of John O'Hara / | $c: selected and with an introduction by Frank MacShane.,"O'Hara, John,",mdp.39015014507019,New York|Random House|c1984.,1984,male,white,american,LIT,1984
Hope Diamond refuses : | a novel / | $c: by Iris Owens.,"Owens, Iris.",uc1.b2852054,New York|Knopf|Distributed by Random House|1984.,1984,female,white,american,ROM,1984
Summer in the city : | a novel / | $c: by Mark Stevens.,"Stevens, Mark,",uc1.b4368521,New York|Random House|c1984.,1984,male,white,american,LIT,1984
Lincoln : | a novel / | $c: by Gore Vidal.,"Vidal, Gore,",mdp.39015005778496,New York|Random House|1984.,1984,female,white,american,HIST,1984
Man Dragon,"Aaron, Moses",,Random House,1985,M,Asian,Indian,FAN,1997
Man From The Sky,Avi,,Random House,1985,M,Caucasian,American,YA,1980
Marching To Valhalla,"Blake, Michael",,Random House,1985,M,Caucasian,American,HIST,1996
Matrix Cubed,"Bloom, Britton",,Random House,1985,,,,SCI,1991
Matilda,"Dahl, Roald",,Random House,1985,M,Caucasian,British,YA,"1994, 1988"
Mamista,"Deighton, Len",,Random House,1985,M,Caucasian,British,DET,1991
Mapping The Edge,"Dunant, Sarah",,Random House,1985,F,Caucasian,British,ROM,1999
Man Missing,"Eberhart, Mignon Good",,Random House,1985,F,white,American,DET,1954
Melora,"Eberhart, Mignon Good",,Random House,1985,F,white,American,ROM,1959
Man O' War,"Farley, Walter",,Random House,1985,M,white,American,YA,1962
Man O'War,"Farley, Walter",,Random House,1985,M,white,American,YA,1962
Making History,"Fry, Stephen",,Random House,1985,M,Caucasian,British,SCI,"1997, 1996"
Memoirs Of A Geisha,"Golden, Arthur",,Random House,1985,M,Caucasian,American,ROM,"1999, 1997"
Men And Angels,"Gordon, Mary",,Random House,1985,F,Caucasian,American,ROM,1985
Mary'S Story,"Hampton, Brenda",,Random House,1985,F,Caucasian,American,YA,1999
Mary Beth'S Haunted Ride,"Hart, Alison",,Random House,1985,F,Caucasian,American,YA,1994
Mcknight In Shining Armor,"Hoag, Tami",,Random House,1985,F,Caucasian,American,ROM,1988
Mama,"Hopkins, Lee Bennett",,Random House,1985,M,Caucasian,American,LIT,1977
Men Die,"Humes, H L",,Random House,1985,M,,American,LIT,1959
Marlfox,"Jacques, Brian",,Random House,1985,M,Caucasian,British,FAN,"1999, 1998"
Martin The Warrior,"Jacques, Brian",,Random House,1985,M,Caucasian,British,YA,1994
Mattimeo,"Jacques, Brian",,Random House,1985,M,Caucasian,British,YA,1990
Manhattan,"Knaff, Jean Christian",,Random House,1985,,,,YA,1989
Marmee'S Surprise,"Kulling, Monica",,Random House,1985,F,Caucasian,Canadian,YA,1996
May Wine On Brooklyn Heights,"Leary, Robert",,Random House,1985,,,,DET,1964
Mainside,"Mandel, Paul, -",,Random House,1985,M,,,LIT,1962
Make A Killing,"Masur, Harold Q",,Random House,1985,M,Caucasian,American,DET,1964
Maudie And Me And The Dirty Book,"Miles, Betty",,Random House,1985,F,white,American,YA,1980
Magic Tree House #8 Midnight On The Moon,"Osborne, Mary Pope",,Random House,1985,F,Caucasian,American,YA,1996
Magic Tree House Collection #1,"Osborne, Mary Pope",,Random House,1985,F,Caucasian,American,YA,1996
Magic Tree House Collection No 1 [Talking Book],"Osborne, Mary Pope",,Random House,1985,F,Caucasian,American,YA,2000
Mary Pope Osborne'S The Mystery Of The Enchanted Dog,"Osborne, Mary Pope",,Random House,1985,F,Caucasian,American,YA,1999
"Maxie, Rosie, And Earl-- Partners In Grime","Park, Barbara",,Random House,1985,F,Caucasian,American,YA,1990
Maria Who?,"Pascal, Francine",,Random House,1985,F,Caucasian,American,YA,"2000, 1999"
"Meet Chitty Chitty Bang Bang, The Wonderful Magical Car","Perkins, Al",,Random House,1985,M,white,American,YA,1968
"Meet Doctor Dolittle,","Perkins, Al",,Random House,1985,M,white,american,YA,1967
Marvin Redpost,"Sachar, Louis",,Random House,1985,M,Caucasian,American,YA,1994
Marvin Redpost Kidnapped At Birth? V1,"Sachar, Louis",,Random House,1985,M,Caucasian,American,YA,1992
Margaret Truman,"Truman, Margaret",,Random House,1985,F,Caucasian,American,DET,1994
Meely Labauve,"Wells, Ken",,Random House,1985,M,Caucasian,American,YA,2000
Marmalade'S Picnic,"Wheeler, Cindy",,Random House,1985,F,Caucasian,American,YA,1983
Marmalade'S Yellow Leaf,"Wheeler, Cindy",,Random House,1985,F,Caucasian,American,YA,1982
Mama Makes Up Her Mind,"White, Bailey",,Random House,1985,F,,American,YA,1993
Mankiller,"Wilcox, Collin",,Random House,1985,M,Caucasian,American,DET,1980
Return trips : | stories / | $c: by Alice Adams.,"Adams, Alice,",mdp.39015019994717,New York|Knopf|Distributed by Random House|1985.,1985,female,white,american,LIT,1985
Hannie Richard / | $c: by Hilary Bailey.,"Bailey, Hilary.",mdp.39015009926307,New York|Random House|c1985.,1985,F,Caucasian,British,ROM,1985
Love always : | a novel / | $c: by Ann Beattie.,"Beattie, Ann.",mdp.39015007051116,New York|Random House|c1985.,1985,female,white,american,ROM,1985
Slow dancing / | $c: Elizabeth Benedict.,"Benedict, Elizabeth.",uc1.32106006989500,New York|Knopf|Distributed by Random House|1985.,1985,female,white,american,ROM,1985
Death is a lonely business / | $c: Ray Bradbury.,"Bradbury, Ray,",mdp.39015010753583,"New York, N.Y.|Knopf|Distributed by Random House|1985.",1985,male,white,american,DET,1985
A night of serious drinking / | $c: Rene__í_Œ‚í_Œé___í_Œ‚í_Œé__ Daumal ; translated from the French by David Coward & E.A. Lovatt.,"Daumal, Rene__í_Œ‚í_Œé___í_Œ‚í_Œé__,",inu.39000000611546,Boston|Shambhala|New York|Distributed in the U.S. by Random House|1979 [i.e. 1985].,1985,male,white,french,,1985
Crows : | a novel / | $c: by Charles Dickinson,"Dickinson, Charles,",uc1.b4422270,New York|A.A. Knopf|Distributed by Random House|1985,1985,male,white,american,DET,1985
World's fair / | $c: E.L. Doctorow.,"Doctorow, E. L.,",mdp.39015066053680,New York|Random House|c1985.,1985,M,Caucasian,American,LIT,1985
Home truths : | sixteen stories / | $c: Mavis Gallant.,"Gallant, Mavis.",uc1.b4951680,"New York|Random House|1985, c1981.",1985,female,white,canadian,LIT,1985
The jailing of Cecelia Capture / | $c: by Janet Campbell Hale.,"Hale, Janet Campbell.",uc1.32106018248309,New York|Random House|c1985.,1985,female,natam,american,LIT,1985
Reasons to live : | stories / | $c: by Amy Hempel.,"Hempel, Amy.",mdp.39015009293617,New York|Knopf|Distributed by Random House|1985.,1985,female,white,american,LIT,1985
Love life : | a novel / | $c: by James D. Houston.,"Houston, James D.",mdp.39015051177460,New York|Knopf|Distributed by Random House|1985.,1985,male,white,canadian,LIT,1985
The red fox / | $c: Anthony Hyde.,"Hyde, Anthony.",uc1.b4450978,New York|Knopf|Distributed by Random House|1985.,1985,male,white,canadian,DET,1985
Three by Ira Levin / | $c: Ira Levin.,"Levin, Ira,",mdp.39015007040945,"New York, N.Y.|Random House|1985.",1985,M,Caucasian,American,SCI,1985
The nuclear age / | $c: Tim O'Brien.,"O'Brien, Tim,",mdp.39015026870116,New York|Knopf|Distributed by Random House|1985.,1985,male,white,american,LIT,1985
Masters of Atlantis : | a novel / | $c: by Charles Portis.,"Portis, Charles.",uc1.b3462801,New York|Knopf|Distributed by Random House|1985.,1985,M,Caucasian,American,FAN,1985
The vampire Lestat / | $c: by Anne Rice.,"Rice, Anne,",inu.30000094771056,"New York|Knopf|Distributed by Random House|2003, c1985.",1985,female,white,american,FAN,1985
Staying afloat / | $c: Muriel Spanier.,"Spanier, Muriel.",uc1.b4365471,New York|Random House|c1985.,1985,female,na,na,LIT,1985
Naomi / | $c: Junichir___ Tanizaki ; translated by Anthony H. Chambers.,"Tanizaki, Jun_í_Œ‚í_Œé____ichir___,",mdp.39015062109395,New York|Knopf|Distributed by Random House|1985.,1985,male,asian,japanese,LIT,1985
The accidental tourist / | $c: Anne Tyler.,"Tyler, Anne.",mdp.39015040129994,New York|Knopf|Distributed by Random House|1985.,1985,F,Caucasian,American,LIT,1985
Scorpio rising / | $c: R.G. Vliet.,"Vliet, R. G.,",uc1.32106006989708,New York|Random House|c1985.,1985,male,white,american,LIT,1985
The American tradition in literature.,,uc1.32106007265587,New York|Random House|c1985.,1985,na,na,na,LIT,1985
Mr Twitmeyer And The Poodle,"Adelson, Leone",,Random House,1986,F,,American,YA,1963
Midwives,"Bohjalian, Chris",,Random House,1986,M,Caucasian,American,ROM,1997
Monsieur Pamplemousse Takes The Cure,"Bond, Michael",,Random House,1986,M,Caucasian,British,DET,1988
Mirror Image,"Brown, Sandra",,Random House,1986,F,Caucasian,American,DET,1992
More Than Dreams,"Bullard, Pamela",,Random House,1986,F,Caucasian,American,DET,1987
Model Sister,"Calhoun, B B",,Random House,1986,,,,YA,1995
More Stories Huey Tells,"Cameron, Ann",,Random House,1986,F,Caucasian,American,YA,"1999, 1997"
